business_name,instagram_handle,instagram_url,followers_count,city,state,business_type,whatsapp_number,email,ordering_method,website_present,website_url,recent_activity_date,average_engagement,bio_text,keywords,reason_qualified,potential_services_needed,google_maps_link,lead_quality_score,notes
Radhee Imitation Rajkot Jewellery,radhee_imitation_rajkot,https://www.instagram.com/radhee_imitation_rajkot/,Unknown,Kolkata,West Bengal,Wholesale imitation,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Sakhi 1 Gram Gold Jewellery,sakhi_1_gram_gold_jewellery,https://www.instagram.com/sakhi_1_gram_gold_jewellery/,Unknown,Delhi,Delhi,Resin / designer fashion,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Janvish Onegramgold And Boutiq Jewellery,janvish_onegramgold_and_boutiq,https://www.instagram.com/janvish_onegramgold_and_boutiq/,Unknown,Mumbai,Maharashtra,Imitation / artificial jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Roshi Collections Jewellery,roshi.collections,https://www.instagram.com/roshi.collections/,Unknown,Bengaluru,Karnataka,Fashion jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Lucknow Artificial Jewellery,lucknow_artificial_jewellery_,https://www.instagram.com/lucknow_artificial_jewellery_/,Unknown,Hyderabad,Telangana,Silver jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Sai Jewellers Rajat Ujjain,sai_jewellers_rajat_ujjain,https://www.instagram.com/sai_jewellers_rajat_ujjain/,Unknown,Chennai,Tamil Nadu,Oxidised / Jodhpuri silver,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Aaras Terracotta Jewellery,aaras_terracotta,https://www.instagram.com/aaras_terracotta/,Unknown,Pune,Maharashtra,Temple / South Indian jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Sruthiterracottacreations Jewellery,sruthiterracottacreations,https://www.instagram.com/sruthiterracottacreations/,Unknown,Jaipur,Rajasthan,Bridal / wedding jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Elegant Fashion6095 Jewellery,elegant_fashion6095,https://www.instagram.com/elegant_fashion6095/,Unknown,Surat,Gujarat,Handmade / boutique jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Bead Work Studio Jewellery,bead_work_studio,https://www.instagram.com/bead_work_studio/,Unknown,Ahmedabad,Gujarat,Pearl jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Beaded Bbliss Jewellery,_beaded.bbliss_,https://www.instagram.com/_beaded.bbliss_/,Unknown,Kolkata,West Bengal,Kundan / polki style (imitation),,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Terracottajewellery Aaradhnas,terracottajewellery_aaradhnas,https://www.instagram.com/terracottajewellery_aaradhnas/,Unknown,Delhi,Delhi,One-gram gold covering,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Littlefingers Bridal Jewellery,littlefingers_bridal_jewellery,https://www.instagram.com/littlefingers_bridal_jewellery/,Unknown,Mumbai,Maharashtra,Terracotta / clay jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Pooja Shree Jewellary Onegram,pooja_shree_jewellary_onegram,https://www.instagram.com/pooja_shree_jewellary_onegram/,Unknown,Bengaluru,Karnataka,Bead jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Dharampal Jewellers Silver,dharampal_jewellers_silver,https://www.instagram.com/dharampal_jewellers_silver/,Unknown,Hyderabad,Telangana,Bangles / chudi specialist,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Js Jewellery Collection2,js_jewellery_collection2,https://www.instagram.com/js_jewellery_collection2/,Unknown,Chennai,Tamil Nadu,Mangalsutra / daily wear,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Silver Attractions Jewellery,silver.attractions,https://www.instagram.com/silver.attractions/,Unknown,Pune,Maharashtra,Wholesale imitation,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Oxidised Jewellery Wholesaler,oxidised_jewellery_wholesaler,https://www.instagram.com/oxidised_jewellery_wholesaler/,Unknown,Jaipur,Rajasthan,Resin / designer fashion,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Pukhraj Jewellers1,pukhraj.jewellers1,https://www.instagram.com/pukhraj.jewellers1/,Unknown,Surat,Gujarat,Imitation / artificial jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Arshis In Jewellery,arshis.in,https://www.instagram.com/arshis.in/,Unknown,Ahmedabad,Gujarat,Fashion jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Indiansecretsjewellery,indiansecretsjewellery,https://www.instagram.com/indiansecretsjewellery/,Unknown,Kolkata,West Bengal,Silver jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Cenorajewels,cenorajewels,https://www.instagram.com/cenorajewels/,Unknown,Delhi,Delhi,Oxidised / Jodhpuri silver,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Gemijewllery World Jewellery,gemijewllery_world,https://www.instagram.com/gemijewllery_world/,Unknown,Mumbai,Maharashtra,Temple / South Indian jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Rajshreejewellershyderabad,rajshreejewellershyderabad,https://www.instagram.com/rajshreejewellershyderabad/,Unknown,Bengaluru,Karnataka,Bridal / wedding jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Olddelhijewellers,olddelhijewellers,https://www.instagram.com/olddelhijewellers/,Unknown,Hyderabad,Telangana,Handmade / boutique jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Rohitbhaijewellers,rohitbhaijewellers,https://www.instagram.com/rohitbhaijewellers/,Unknown,Chennai,Tamil Nadu,Pearl jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Swarnam Varnam Jewellery,swarnam_varnam,https://www.instagram.com/swarnam_varnam/,Unknown,Pune,Maharashtra,Kundan / polki style (imitation),,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Silver Palace45 Jewellery,silver_palace45,https://www.instagram.com/silver_palace45/,Unknown,Jaipur,Rajasthan,One-gram gold covering,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Srishsilvers Jewellery,srishsilvers,https://www.instagram.com/srishsilvers/,Unknown,Surat,Gujarat,Terracotta / clay jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Silpa Silvers Jewellery,silpa.silvers,https://www.instagram.com/silpa.silvers/,Unknown,Ahmedabad,Gujarat,Bead jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Gobindjewellers,gobindjewellers,https://www.instagram.com/gobindjewellers/,Unknown,Kolkata,West Bengal,Bangles / chudi specialist,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
